acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
airspy 1.0.10-1
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
aom 3.3.0-1
archlinux-keyring 20220224-1
arduino 1:1.8.19-1
arduino-avr-core 1.8.3-1
arduino-builder 1.6.1-1
arduino-cli 0.19.3-1
arduino-ctags 5.8_arduino11-4
arduino-mk 1.6.0-1
argon2 20190702-4
asoundconf 1:1.2-7
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.7-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
avr-binutils 2.37-1
avr-gcc 11.2.0-1
avr-libc 2.1.0-1
avrdude 1:6.4-1
base 2-2
bash 5.1.016-1
bc 1.07.1-4
binutils 2.38-3
bison 3.8.2-3
bitrock-unpacker 1.1-1
bladerf 2021.03-1
blas 3.10.0-1
bmake 20220214-1
boost 1.78.0-1
boost-libs 1.78.0-1
bridge-utils 1.7.1-1
brotli 1.0.9-7
bubblewrap 0.6.1-1
busybox 1.34.1-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.76-1
ca-certificates-utils 20210603-1
cabal-install 3.4.0.0-105
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cblas 3.10.0-1
cdparanoia 10.2-8
celt 0.11.3-4
cmake 3.22.3-1
codec2 1:1.0.3-2
confuse 3.3-3
containerd 1.6.1-1
coreutils 9.0-2
cryptsetup 2.4.3-2
cuda 11.6.1-1
cups 1:2.4.1-1
cups-filters 1.28.12-1
curl 7.82.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.14.0-1
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.15-1
dhcpcd 9.4.1-1
dialog 1:1.3_20220117-1
diffutils 3.8-1
dnssec-anchors 20190629-3
docker 1:20.10.12-1
double-conversion 3.2.0-1
doxygen 1.9.3-1
e2fsprogs 1.46.5-3
efibootmgr 17-2
efivar 38-2
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
electrum 4.1.5-2
elfutils 0.186-5
enchant 2.3.2-1
execstack 20130503-7
expat 2.4.7-1
fakechroot 2.20.1-2
fakeroot 1.28-1
ffmpeg 2:5.0-5
ffmpeg4.4 4.4.1-4
fftw 3.3.10-2
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
flac 1.3.4-2
flex 2.6.4-3
fontconfig 2:2.13.96-1
freeglut 3.2.2-1
freeimage 3.18.0-12
freetype2 2.11.1-1
fribidi 1.0.11-1
gawk 5.1.1-1
gc 8.2.0-2
gcc 11.2.0-4
gcc-libs 11.2.0-4
gd 2.3.3-3
gdbm 1.23-1
gdk-pixbuf2 2.42.6-2
geoclue 2.6.0-2
geocode-glib 3.26.2+r9+g6047da3-1
gettext 0.21-2
ghc 9.0.2-1
ghc-libs 9.0.2-1
giflib 5.2.1-2
git 2.35.1-1
github-cli 2.5.2-1
gl2ps 1.4.2-2
glew 2.2.0-2
glib-networking 1:2.70.1-1
glib2 2.70.4-2
glibc 2.35-2
glibmm 2.66.2-1
glm 0.9.9.8-1
glu 9.0.2-2
gmp 6.2.1-1
gnupg 2.2.32-2
gnuradio 3.9.4.0-2
gnuradio-iqbal 0.38.2-6
gnuradio-osmosdr 0.2.3-8
gnutls 3.7.3-1
go 2:1.17.8-1
gobject-introspection-runtime 1.70.0-5
google-chrome 97.0.4692.71-1
gperf 3.1-3
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gqrx 2.15.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-4
gsettings-desktop-schemas 41.0-1
gsl 2.7.1-1
gsm 1.0.19-1
gst-plugins-base 1.20.0-3
gst-plugins-base-libs 1.20.0-3
gstreamer 1.20.0-3
gtk-update-icon-cache 1:4.6.1-3
gtk2 2.24.33-2
gtk3 1:3.24.33-1
gtkmm3 3.24.5-2
gtksourceview3 3.24.11+28+g73e57b57-1
guile 2.2.7-2
gvim 8.2.4464-1
gzip 1.11-1
hackrf 2021.03.1-1
harfbuzz 4.0.0-1
harfbuzz-icu 4.0.0-1
haskell-aeson 1.5.6.0-84
haskell-annotated-wl-pprint 0.7.0-25
haskell-ansi-terminal 0.11-218
haskell-ansi-wl-pprint 0.6.9-276
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-154
haskell-asn1-parse 0.9.5-154
haskell-asn1-types 0.3.4-133
haskell-assoc 1.0.2-124
haskell-async 2.2.4-14
haskell-attoparsec 0.14.4-3
haskell-attoparsec-iso8601 1.0.2.1-8
haskell-auto-update 0.1.6-219
haskell-base-compat 0.12.0-1
haskell-base-compat-batteries 0.12.0-6
haskell-base-orphans 0.8.6-9
haskell-base16-bytestring 1.0.2.0-9
haskell-base64-bytestring 1.2.1.0-30
haskell-basement 0.0.13-1
haskell-bifunctors 5.5.11-49
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-153
haskell-blaze-markup 0.8.2.8-59
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-casa-client 0.0.1-402
haskell-casa-types 0.0.2-204
haskell-case-insensitive 1.2.1.0-132
haskell-cereal 0.5.8.2-2
haskell-clock 0.8.2-133
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-68
haskell-comonad 5.0.8-128
haskell-conduit 1.3.4.2-32
haskell-conduit-extra 1.3.5-210
haskell-connection 0.3.1-176
haskell-constraints 0.13.2-5
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.5-12
haskell-cryptohash-sha256 0.11.102.1-20
haskell-cryptonite 0.29-47
haskell-cryptonite-conduit 0.2.2-462
